metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.499318464210526,2.509483949,2.48543179,2.51577098
metric_CPU utilization %,99.79508572421054,103.300557821,94.55074574,103.81715846
metric_CPU utilization% in kernel mode,0.778115832631579,0.8728790820000001,0.71373423,0.88587924
metric_CPI,0.8307873126315788,0.8359446189999999,0.82480908,0.83694532
metric_kernel_CPI,4.123906274210526,4.629860513000001,3.40523737,4.65685658
metric_IPC,1.2037004078947369,1.211016851,1.19482118,1.21240178
metric_giga_instructions_per_sec,432.3215868063158,447.19847220099996,413.68198865,451.63382503
metric_L1D MPI (includes data+rfo w/ prefetches),0.05245850631578947,0.053026624999999994,0.05108871,0.05314799
metric_L1D demand data read hits per instr,0.3136146899999999,0.314217724,0.31235214,0.31426987
metric_L1-I code read misses (w/ prefetches) per instr,0.001785235789473684,0.0023235139999999987,0.0016348,0.00281432
metric_L2 demand data read hits per instr,0.020609007894736842,0.020747918999999997,0.02012062,0.02075727
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.003091707894736842,0.003160520999999999,0.00298789,0.00336996
metric_L2 demand data read MPI,0.00015214842105263157,0.00017227399999999996,0.00013417,0.00019211
metric_L2 demand code MPI,0.00013615736842105265,0.00014222299999999997,0.00013044,0.0001553
metric_Average LLC data read miss latency (in clks),239.42878369842106,240.67747347699998,237.70435,241.0002454
metric_UPI Data transmit BW (MB/sec) (only data),173.5051935942105,270.7438128489998,136.3077714,345.87972694
metric_package power (watts),499.34910622736834,506.40099623000003,492.0061839,513.57651389
metric_DRAM power (watts),37.43711668894737,37.988596933000004,36.61088127,38.45541139
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_memory bandwidth read (MB/sec),74143.77830716631,76578.72267665701,71916.88572732,79033.89074625
metric_memory bandwidth write (MB/sec),42457.945556258426,43852.337129701,40793.31035109,44523.72521299
metric_memory bandwidth total (MB/sec),116601.72386342681,118658.96578378801,113053.62407419,119827.20109734
metric_ITLB (2nd level) MPI,3.084052631578948e-05,3.3359e-05,2.976e-05,3.461e-05
metric_DTLB (2nd level) load MPI,1.180736842105263e-05,1.3664999999999995e-05,1.037e-05,1.488e-05
metric_DTLB (2nd level) 2MB large page load MPI,6.136842105263157e-07,7.369999999999997e-07,5.4e-07,8.9e-07
metric_DTLB (2nd level) store MPI,3.3458947368421054e-05,3.5345e-05,3.042e-05,3.566e-05
metric_NUMA %_Reads addressed to local DRAM,99.46942265368419,99.520705382,99.35869869,99.54882149
metric_NUMA %_Reads addressed to remote DRAM,0.5305773463157896,0.6010560549999999,0.45117851,0.64130131
metric_uncore frequency GHz,1.598508285263158,1.6228055129999999,1.56763873,1.63215672
metric_TMA_Frontend_Bound(%),28.948844671052633,29.63979774,28.09688925,29.76670638
metric_TMA_..Fetch_Latency(%),18.322947394736847,18.437029991,18.23168676,18.49782986
metric_TMA_....ICache_Misses(%),0.9184055910526316,1.036633295,0.89250587,1.08141041
metric_TMA_....ITLB_Misses(%),3.9507974984210525,4.0667786139999995,3.88789833,4.18635796
metric_TMA_....Branch_Resteers(%),1.5874943815789475,1.6292474339999998,1.53716586,1.68572787
metric_TMA_......Mispredicts_Resteers(%),1.2293217842105264,1.257827635,1.20761969,1.29415753
metric_TMA_......Clears_Resteers(%),0.02798584631578947,0.029312375999999994,0.02733286,0.03082533
metric_TMA_......Unknown_Branches(%),0.33018675263157893,0.354742299,0.30179081,0.36074502
metric_TMA_..Fetch_Bandwidth(%),10.625897277368423,11.393397352000001,9.77415844,11.45157256
metric_TMA_Bad_Speculation(%),4.121166046842105,8.997315599999999,1.32160084,9.83289774
metric_TMA_..Branch_Mispredicts(%),4.029071357894736,8.792386076999998,1.29191106,9.60413835
metric_TMA_..Machine_Clears(%),0.09209468842105265,0.20492951399999995,0.02968977,0.22875939
metric_TMA_Backend_Bound(%),31.071429339999998,32.690058586,27.10742746,32.96875039
metric_TMA_..Memory_Bound(%),15.889553351578945,16.763071565,13.93719021,16.90354829
metric_TMA_....L1_Bound(%),18.557460835263157,18.646239935,18.3675751,18.69815504
metric_TMA_......DTLB_Load(%),9.854130233157894,10.073409874,9.49221863,10.20166288
metric_TMA_......Store_Fwd_Blk(%),0.452594994736842,0.46040966400000005,0.43260301,0.4612602
metric_TMA_....L2_Bound(%),10.538496684736842,10.857804759,10.14588185,10.94513544
metric_TMA_....L3_Bound(%),0.9495522426315791,1.0507178449999999,0.85641282,1.07985764
metric_TMA_......Contested_Accesses(%),0.0035473157894736836,0.004998286999999997,0.00289005,0.00607349
metric_TMA_......Data_Sharing(%),0.004410422105263157,0.005510369999999999,0.00358132,0.00582186
metric_TMA_......L3_Hit_Latency(%),0.8846972984210526,0.948886217,0.79388984,0.96475472
metric_TMA_......SQ_Full(%),0.3537605010526316,0.378839263,0.32216732,0.38193817
metric_TMA_......MEM_Bandwidth(%),2.1597949236842107,2.639450936,1.9670796,2.84048831
metric_TMA_......Mem_Latency(%),13.538248633684208,14.074509026999998,12.93828235,15.2470623
metric_TMA_....Store_Bound(%),1.5689664915789472,1.611220796,1.51165253,1.61138996
metric_TMA_..Core_Bound(%),0.0,0.0,0.0,0.0
metric_TMA_....Divider(%),0.04397925578947368,0.1211737639999998,0.0218285,0.2034671
metric_TMA_....Ports_Utilization(%),30.902624203684212,31.156668977,30.40887306,31.28265608
metric_TMA_......Ports_Utilized_0(%),0.0,0.0,0.0,0.0
metric_TMA_......Ports_Utilized_1(%),24.21951759052632,24.377713261,23.97753129,24.40723984
metric_TMA_......Ports_Utilized_2(%),18.674696641578944,18.777874442999998,18.54258393,18.79108512
metric_TMA_......Ports_Utilized_3m(%),15.657236686842102,15.787832647,15.3424029,15.83967451
metric_TMA_Retiring(%),35.85855994105263,36.57133211,34.79683163,36.68317088
metric_TMA_..Light_Operations(%),35.7483179468421,36.459492955,34.68009089,36.57383953
metric_TMA_..Heavy_Operations(%),0.11024199578947369,0.11647128000000001,0.10500145,0.11674074
metric_TMA_Info_CoreIPC,2.4079186289473684,2.422686035,2.39350649,2.4227633
metric_TMA_Info_System_SMT_2T_Utilization,1.0,1.0,1.0,1.0
