metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.619788066,2.699960064,2.52234119,2.70245078
metric_CPU utilization %,101.981329,103.2039954,96.24580685,161.0322286
metric_CPU utilization% in kernel mode,0.500411142,0.606635732,0.36668951,0.65558862
metric_CPI,0.884970842,0.914910534,0.85043594,0.91600361
metric_kernel_CPI,3.78388907,4.833759366,2.46068023,4.87443567
metric_IPC,1.130424786,1.160722562,1.09169875,1.17586751
metric_giga_instructions_per_sec,434.8433854,451.1781813,404.5198519,691.9408701
metric_L1D MPI (includes data+rfo w/ prefetches),0.003659638,0.004180506,0.00315842,0.00425681
metric_L1D demand data read hits per instr,0.229378234,0.23396521,0.22499879,0.23490235
metric_L1-I code read misses (w/ prefetches) per instr,0.003440448,0.00415588,0.00280559,0.00426494
metric_L2 demand data read hits per instr,0.001786279,0.001948032,0.00155367,0.00197017
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.000688046,0.001219714,0.00054467,0.00153783
metric_L2 demand data read MPI,0.000312827,0.00033876,0.00027986,0.00035026
metric_L2 demand code MPI,4.47E-06,9.21E-06,2.87E-06,1.22E-05
metric_Average LLC data read miss latency (in clks),212.3373303,242.7975118,181.458292,243.3349392
metric_UPI Data transmit BW (MB/sec) (only data),41.49414711,46.55775472,35.59477899,68.00858104
metric_package power (watts),499.4901009,506.2161322,498.1189027,513.7276521
metric_DRAM power (watts),24.05927293,27.28784278,23.07705892,28.15135454
metric_core % cycles in non AVX license,100,100,100,100
metric_core % cycles in AVX2 license,0,0,0,0
metric_core % cycles in AVX-512 license,0,0,0,0
metric_memory bandwidth read (MB/sec),16598.67814,26852.55155,12895.9037,30319.43954
metric_memory bandwidth write (MB/sec),9045.310542,20132.98886,6028.427151,23214.10625
metric_memory bandwidth total (MB/sec),25643.98869,46966.11642,19120.06995,53533.54579
metric_ITLB (2nd level) MPI,2.75E-05,3.07E-05,2.31E-05,3.15E-05
metric_DTLB (2nd level) load MPI,3.09E-06,3.61E-06,2.35E-06,6.11E-06
metric_DTLB (2nd level) 2MB large page load MPI,2.49E-06,2.72E-06,2.12E-06,4.35E-06
metric_DTLB (2nd level) store MPI,1.41E-06,1.46E-06,1.36E-06,1.47E-06
metric_NUMA %_Reads addressed to local DRAM,99.8185312,99.8364575,99.78833974,99.84342629
metric_NUMA %_Reads addressed to remote DRAM,0.181468803,0.206854032,0.15657371,0.21166026
metric_uncore frequency GHz,1.222973865,1.62929913,0.79707499,1.65138266
metric_TMA_Frontend_Bound(%),34.74955596,35.84589567,32.72219904,36.24355662
metric_TMA_..Fetch_Latency(%),15.47372631,15.97283761,14.93029678,16.24511664
metric_TMA_....ICache_Misses(%),0.482450248,0.555643436,0.40634481,0.56802245
metric_TMA_....ITLB_Misses(%),0.402749702,1.345441948,0.16912789,1.81568905
metric_TMA_....Branch_Resteers(%),9.545251611,10.11086856,8.59586407,10.18337489
