metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),2.542890891724138,2.622272824,2.45933477,2.65829956
metric_CPU utilization %,100.42033346275862,107.427091384,92.69828185,114.56716971
metric_CPU utilization% in kernel mode,0.8467956872413791,1.04432701,0.67391493,1.17525002
metric_CPI,0.6798162372413792,0.6977673919999999,0.66596276,0.70479556
metric_kernel_CPI,5.807275616551723,6.416457242,3.79249735,6.59360138
metric_IPC,1.4713439006896554,1.501357916,1.41885117,1.50158547
metric_giga_instructions_per_sec,540.9375919972413,579.253979932,500.36183585,613.99306638
metric_L1D MPI (includes data+rfo w/ prefetches),0.007270351724137931,0.008734285999999999,0.00356232,0.00896472
metric_L1D demand data read hits per instr,0.31055879344827586,0.31667408399999997,0.28481539,0.3167178
metric_L1-I code read misses (w/ prefetches) per instr,0.010948194137931036,0.012999133999999999,0.00389228,0.01358398
metric_L2 demand data read hits per instr,0.004700115517241379,0.005693749999999999,0.00174401,0.00588381
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0002706503448275862,0.0009334999999999994,3.713e-05,0.00118747
metric_L2 demand data read MPI,5.325206896551724e-05,0.0002747959999999999,3e-06,0.00036389
metric_L2 demand code MPI,2.0265862068965522e-05,0.00010104399999999995,2.74e-06,0.00014128
metric_Average LLC data read miss latency (in clks),249.22079214000004,304.319851556,159.23570223,316.49236821
metric_UPI Data transmit BW (MB/sec) (only data),48.478985418275855,122.75284947799992,16.3395521,150.65191234
metric_package power (watts),499.5955917417242,512.892685868,485.22773009,513.32460288
metric_DRAM power (watts),21.782585463103448,25.254545959999998,20.07554934,27.21728405
metric_core % cycles in non AVX license,100.0,100.0,100.0,100.0
metric_core % cycles in AVX2 license,0.0,0.0,0.0,0.0
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_memory bandwidth read (MB/sec),7242.218588721725,26574.29280160998,415.83911276,34915.06331643
metric_memory bandwidth write (MB/sec),1990.7858025558623,5516.461658992001,55.07505356,5623.40435027
metric_memory bandwidth total (MB/sec),9233.00439127724,30809.02164666198,470.91416632,39232.57542236
metric_ITLB (2nd level) MPI,1.6396206896551727e-05,3.639599999999999e-05,1.106e-05,4.66e-05
metric_DTLB (2nd level) load MPI,9.18586206896552e-06,4.835399999999998e-05,1.26e-06,6.388e-05
metric_DTLB (2nd level) 2MB large page load MPI,1.1034482758620691e-07,4.899999999999998e-07,2e-08,5.5e-07
metric_DTLB (2nd level) store MPI,4.298620689655172e-06,1.0579999999999995e-05,2.87e-06,1.216e-05
metric_NUMA %_Reads addressed to local DRAM,98.22926948344829,99.657410378,97.07105947,99.81873878
metric_NUMA %_Reads addressed to remote DRAM,1.7707305165517244,2.8371102819999994,0.18126122,2.92894053
metric_uncore frequency GHz,0.8659902713793103,1.1175403739999998,0.77606754,1.30103423
metric_TMA_Frontend_Bound(%),23.08982708068966,27.955522996,20.20914432,29.99589695
metric_TMA_..Fetch_Latency(%),15.86027873655172,16.239076517999997,14.16817771,16.30174797
metric_TMA_....ICache_Misses(%),1.93834355,2.2036024899999997,1.26851055,2.24672616
metric_TMA_....ITLB_Misses(%),2.857640843448276,3.2335756579999995,2.56893984,3.30091902
metric_TMA_....Branch_Resteers(%),4.863792893103448,5.2279567,3.48749182,5.40731453
metric_TMA_......Mispredicts_Resteers(%),4.379624208275862,4.746226752,3.03153446,4.94044705
metric_TMA_......Clears_Resteers(%),0.07863435482758621,0.087354038,0.0600011,0.08740964
metric_TMA_......Unknown_Branches(%),0.4055343282758621,0.41804379199999997,0.38669789,0.41878136
metric_TMA_..Fetch_Bandwidth(%),7.229548344137932,11.92072928,4.2079985,14.07607499
metric_TMA_Bad_Speculation(%),20.544181066206903,28.514276607999996,8.06542402,30.05512468
metric_TMA_..Branch_Mispredicts(%),20.18319800137931,28.047142257999994,7.90888876,29.59222403
metric_TMA_..Machine_Clears(%),0.3609830644827586,0.461127618,0.15653526,0.48031225
metric_TMA_Backend_Bound(%),6.57320848413793,12.12892211199999,3.22512258,17.5482878
metric_TMA_..Memory_Bound(%),2.392492430689654,5.416270559999996,1.09547491,8.46082062
metric_TMA_....L1_Bound(%),17.311215444827585,18.003548444,12.09633762,18.04058092
metric_TMA_......DTLB_Load(%),11.376990778275864,12.480538912,8.17468662,12.68381267
metric_TMA_......Store_Fwd_Blk(%),0.010751875517241377,0.03724572599999998,0.00456339,0.04185702
metric_TMA_....L2_Bound(%),1.9044851717241376,2.210129768,0.68356367,2.33384423
metric_TMA_....L3_Bound(%),0.7621150413793103,3.0639255919999986,0.26892226,3.83318964
metric_TMA_......Contested_Accesses(%),0.002112661724137931,0.0028562019999999995,0.00083444,0.003126
metric_TMA_......Data_Sharing(%),0.004423982068965517,0.005649421999999999,0.00138011,0.00653872
metric_TMA_......L3_Hit_Latency(%),0.17783907310344826,0.6775015679999997,0.02283305,0.8332183
metric_TMA_......SQ_Full(%),0.13579130551724136,0.19015179399999993,0.05768861,0.22856939
metric_TMA_......MEM_Bandwidth(%),0.6546436393103446,2.581028779999998,0.0757437,3.4958891
metric_TMA_......MEM_Latency(%),4.377492249310345,13.773500661999991,1.68238782,15.58695667
metric_TMA_....Store_Bound(%),1.3670219672413795,5.152926585999998,0.5561879,6.8985576
metric_TMA_..Core_Bound(%),0.0,0.0,0.0,0.0
metric_TMA_....Divider(%),0.06122536034482759,0.12383227,0.03009665,0.14975621
metric_TMA_....Ports_Utilization(%),32.882698594137935,34.371374630000005,26.67152051,34.42164443
metric_TMA_......Ports_Utilized_0(%),0.0,0.0,0.0,0.0
metric_TMA_......Ports_Utilized_1(%),22.79663569931034,23.539734086000003,17.27265889,23.55544747
metric_TMA_......Ports_Utilized_2(%),20.318948034827592,20.885645568,17.76670256,20.89970013
metric_TMA_......Ports_Utilized_3m(%),26.55958206724138,27.170089515999997,25.64558745,28.43606073
metric_TMA_Retiring(%),49.792783369655176,52.86005521,45.7954394,53.09804144
metric_TMA_..Light_Operations(%),49.6671349562069,52.75413586799999,45.66722901,52.9693613
