metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),3.0716010301973693,3.084521781,3.03515053,3.13021907
metric_CPU utilization %,98.78039712447365,99.5520550455,57.24924435,99.58080163
metric_CPU utilization% in kernel mode,0.2181633266447367,0.259204461,0.17274306,0.34237352
metric_CPI,1.2363216828947368,1.273254635,1.11044618,1.28943208
metric_kernel_CPI,3.9563425359868436,5.080399164499999,2.41022481,5.30828038
metric_L1D MPI (includes data+rfo w/ prefetches),0.006064294210526314,0.0084036505,0.00446946,0.01169192
metric_L1D demand data read hits per instr,0.25809237901315796,0.26596718350000004,0.23618889,0.26706696
metric_L1-I code read misses (w/ prefetches) per instr,7.222289473684213e-05,0.0001047035,5.023e-05,0.00014767
metric_L2 demand data read hits per instr,0.003017264539473684,0.0034335554999999998,0.00267186,0.00449478
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0006344203947368421,0.0015362519999999992,0.00010602,0.00291705
metric_L2 demand data read MPI,7.993223684210529e-05,0.00017849049999999996,2.072e-05,0.00033297
metric_L2 demand code MPI,1.877236842105263e-05,3.1886e-05,8.58e-06,6.356e-05
metric_LLC data read MPI (demand+prefetch),0.0001249128947368421,0.00029422249999999975,2.194e-05,0.00055534
metric_LLC total HITM (per instr),3.611842105263155e-08,5e-08,2e-08,2.2e-07
metric_LLC total HIT clean line forwards (per instr),1.4921052631578958e-07,2.844999999999999e-07,7e-08,5.1e-07
metric_Average LLC data read miss latency (in clks),252.05950394164478,381.1425082195,214.15573434,514.47330551
metric_Average LLC data read miss latency (in ns),99.8855728728948,102.1555806945,92.06657869,102.90796472
metric_Average LLC data read miss latency for LOCAL requests (in ns),97.8642298977632,100.07791293449999,91.62543723,100.83009663
metric_Average LLC data read miss latency for REMOTE requests (in ns),261.16970242414493,290.41684569999995,219.44794154,315.6041849
metric_ITLB MPI,1.3285789473684208e-05,2.673199999999998e-05,8.66e-06,0.00010335
metric_DTLB 2MB large page load MPI,3.3322368421052637e-07,5.5e-07,7e-08,9e-07
metric_NUMA %_Reads addressed to local DRAM,98.73484449907897,99.435905209,97.54096517,99.6487823
metric_NUMA %_Reads addressed to remote DRAM,1.2651555009210533,2.0622632994999996,0.3512177,2.45903483
metric_UPI Data transmit BW (MB/sec) (only data),41.83765623947368,56.66735025,22.788045,67.254201
metric_UPI Transmit utilization_% (includes control),0.11588477730263158,0.1666355645,0.06256116,0.22389168
metric_uncore frequency GHz,1.8923169426315793,1.9613795415,1.79702835,2.14050201
metric_package power (watts),408.72477631578954,409.352,324.486,409.386
metric_DRAM power (watts),21.227460526315777,23.780799999999996,18.072,26.37
metric_core % cycles in non AVX license,99.99891923269739,100.0,99.99378629,100.0
metric_core % cycles in AVX2 license,0.0010807673026315787,0.003160968999999999,0.0,0.00621371
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_memory bandwidth read (MB/sec),4268.159922442105,9720.831640959994,964.8681216,17692.0651904
metric_memory bandwidth write (MB/sec),2066.395902989474,4714.865426559998,452.8207872,8715.3611392
metric_memory bandwidth total (MB/sec),6334.555825431581,14470.34972287999,1417.6889088,26407.4263296
metric_IO_bandwidth_disk_or_network_writes (MB/sec),0.2590700052631578,1.2615716799999994,0.0,7.3578752
metric_IO_bandwidth_disk_or_network_reads (MB/sec),0.004946331578947367,0.014031759999999999,0.0,0.0360832
metric_TMAM_Info_CoreIPC,1.6185106405921053,1.681410931,1.55107046,1.80107784
metric_TMAM_Frontend_Bound(%),24.440978589013167,25.399770751,23.28037727,29.43835693
metric_TMAM_Bad_Speculation(%),29.384086120986854,30.4499842755,22.62885311,30.61240346
metric_TMAM_Backend_bound(%),6.654114449539474,7.046533495,5.69599344,7.98459251
metric_TMAM_Retiring(%),39.55786185855263,41.470829981,35.5593307,45.47371867
