metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),3.2100600887500015,3.3000000325,2.9771538,3.64802062
metric_CPU utilization %,98.01874215145834,99.861253347,26.81286893,100.05737187
metric_CPU utilization% in kernel mode,5.227241880486108,16.612244419499998,1.29053333,20.72975897
metric_CPI,2.225090337847222,3.6326826949999993,1.09947319,5.07358671
metric_kernel_CPI,2.698570485833335,4.108879793999996,1.81639311,4.80405079
metric_L1D MPI (includes data+rfo w/ prefetches),0.03087746305555556,0.05788452399999999,0.0074952,0.07703164
metric_L1D demand data read hits per instr,0.2669194524305555,0.28656478449999995,0.22484928,0.31142832
metric_L1-I code read misses (w/ prefetches) per instr,0.009772377916666665,0.017624420000000002,5.734e-05,0.02514456
metric_L2 demand data read hits per instr,0.009278243055555553,0.011165290999999999,0.00132956,0.04070061
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.021455055833333334,0.0461411215,0.00617346,0.06137691
metric_L2 demand data read MPI,0.004057715763888888,0.006717267000000001,0.00070597,0.01034895
metric_L2 demand code MPI,0.0008843083333333329,0.002858764999999999,4.806e-05,0.00337589
metric_LLC data read MPI (demand+prefetch),0.009850233749999998,0.02228690899999999,0.00064215,0.02730925
metric_LLC total HITM (per instr),5.650416666666667e-06,2.6334e-05,3e-08,3.62e-05
metric_LLC total HIT clean line forwards (per instr),1.6221805555555556e-05,6.0886999999999995e-05,8.7e-07,8.982e-05
metric_Average LLC data read miss latency (in clks),342.6333947171525,542.9694790005,227.60826068,631.30465091
metric_Average LLC data read miss latency (in ns),130.9522505870833,184.81838485049997,101.02051549,209.02881675
metric_Average LLC data read miss latency for LOCAL requests (in ns),130.80914499590278,184.69148966199998,101.35491878,209.02408315
metric_Average LLC data read miss latency for REMOTE requests (in ns),242.94396848374987,288.354342977,164.064981,312.28660439
metric_ITLB MPI,8.613347222222225e-05,0.00022148949999999996,6.4e-07,0.00036929
metric_DTLB 2MB large page load MPI,1.087638888888889e-05,4.484199999999999e-05,1.29e-06,8.719e-05
metric_NUMA %_Reads addressed to local DRAM,99.86285472395829,99.969117666,99.39036102,99.97977282
metric_NUMA %_Reads addressed to remote DRAM,0.13714527604166674,0.3913292875,0.02022718,0.60963898
metric_UPI Data transmit BW (MB/sec) (only data),456.5035110125001,910.91438298,86.4083556,1037.0798046
metric_UPI Transmit utilization_% (includes control),9.582844336388884,40.08729298949999,0.30833053,47.18783987
metric_uncore frequency GHz,2.0598683988888875,2.3552768879999997,1.7333878,2.3990957
metric_package power (watts),406.8044444444444,409.7488,250.578,410.366
metric_DRAM power (watts),49.727680555555565,60.00279999999999,28.42,60.594
metric_core % cycles in non AVX license,99.5402217838194,99.98447580550001,98.13806976,100.0
metric_core % cycles in AVX2 license,0.4597782161805555,1.5523601715,0.0,1.86193024
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_memory bandwidth read (MB/sec),109603.14278124443,212641.64504255992,19669.8659072,223078.8039296
metric_memory bandwidth write (MB/sec),29813.292250666676,82275.95156991998,2848.02048,101754.2425088
metric_memory bandwidth total (MB/sec),139416.43503191118,219083.82646143995,29485.8556672,225926.8244096
metric_IO_bandwidth_disk_or_network_writes (MB/sec),9.997166238888887,57.12421967999998,0.0,122.8519536
metric_IO_bandwidth_disk_or_network_reads (MB/sec),0.01732935,0.05733807999999999,0.0,0.0768664
metric_TMAM_Info_CoreIPC,1.0154542925000003,1.6791690595,0.39419845,1.81905299
metric_TMAM_Frontend_Bound(%),18.050301653333324,32.400662229,4.13374503,35.32494346
metric_TMAM_Bad_Speculation(%),5.436452479861108,15.4910095745,1.59540293,16.64138029
metric_TMAM_Backend_bound(%),53.015591620347244,73.2000857845,7.19575517,81.2068256
metric_TMAM_Retiring(%),23.551329809374987,38.512896852,11.38105636,41.58771201
