metrics,avg,p95,min,max
metric_CPU operating frequency (in GHz),3.040034321898735,3.0461862109999998,3.03238287,3.07797014
metric_CPU utilization %,99.30960854594939,99.45531254549999,81.78105598,99.67674323
metric_CPU utilization% in kernel mode,0.1459909841772152,0.1581892475,0.13279029,0.17431968
metric_CPI,1.0136686526582286,1.0311823165,0.92633388,1.03779345
metric_kernel_CPI,3.918524672911394,4.344634461,2.69944947,4.45623191
metric_L1D MPI (includes data+rfo w/ prefetches),2.1274873417721506e-05,3.0334500000000006e-05,1.479e-05,4.195e-05
metric_L1D demand data read hits per instr,0.3110287584810125,0.31519440200000004,0.28733714,0.31640138
metric_L1-I code read misses (w/ prefetches) per instr,9.80820253164557e-05,0.00029394,1.318e-05,0.00060311
metric_L2 demand data read hits per instr,1.004936708860759e-05,1.2691000000000001e-05,7.84e-06,1.454e-05
metric_L2 MPI (includes code+data+rfo w/ prefetches),3.7598734177215194e-06,4.2745e-06,3.1e-06,9.5e-06
metric_L2 demand data read MPI,9.889240506329112e-07,1.14e-06,8.6e-07,1.87e-06
metric_L2 demand code MPI,1.087341772151898e-07,1.4e-07,2e-08,3.43e-06
metric_LLC data read MPI (demand+prefetch),1.4588607594936717e-07,1.9e-07,1e-07,1.14e-06
metric_LLC total HITM (per instr),3.1518987341772075e-08,7e-08,2e-08,8e-08
metric_LLC total HIT clean line forwards (per instr),1.1708860759493686e-07,1.5e-07,9e-08,1.7e-07
metric_Average LLC data read miss latency (in clks),964.2632211182286,555.916779441,310.816771,37720.04520818
metric_Average LLC data read miss latency (in ns),226.769229213924,303.718621206,67.04004162,336.10149645
metric_Average LLC data read miss latency for LOCAL requests (in ns),216.29557306588603,244.457896312,41.52803892,409.76901585
metric_Average LLC data read miss latency for REMOTE requests (in ns),230.5190445052532,347.822490147,196.45276429,395.86908872
metric_ITLB MPI,1.4017721518987339e-06,1.5715e-06,1.23e-06,1.77e-06
metric_DTLB 2MB large page load MPI,3.79746835443038e-10,0.0,0.0,4e-08
metric_NUMA %_Reads addressed to local DRAM,41.44528870373417,54.453423933,24.56903097,83.67310226
metric_NUMA %_Reads addressed to remote DRAM,58.554711296265836,69.10628541,16.32689774,75.43096903
metric_UPI Data transmit BW (MB/sec) (only data),4.993361737974682,5.49007074,4.2053004,8.3372814
metric_UPI Transmit utilization_% (includes control),0.01570783253164558,0.0172494225,0.01364033,0.02542483
metric_uncore frequency GHz,1.791579613227848,1.79561558,1.77760842,1.88589538
metric_package power (watts),409.0898354430383,409.2623,391.19,409.39
metric_DRAM power (watts),20.162556962025313,20.315999999999995,19.982,20.36
metric_core % cycles in non AVX license,99.9898699978481,100.0,99.90718498,100.0
metric_core % cycles in AVX2 license,0.010130002151898732,0.048661323000000006,0.0,0.09281502
metric_core % cycles in AVX-512 license,0.0,0.0,0.0,0.0
metric_memory bandwidth read (MB/sec),27.281203686075948,30.297763200000002,24.1256448,45.5367168
metric_memory bandwidth write (MB/sec),10.682144810126584,11.40846464,9.9717888,15.5509248
metric_memory bandwidth total (MB/sec),37.963348496202514,41.77243456,34.43712,61.0876416
metric_IO_bandwidth_disk_or_network_writes (MB/sec),0.07047955949367089,0.2394461600000001,0.0,2.4602576
metric_IO_bandwidth_disk_or_network_reads (MB/sec),0.012851129113924055,0.03293016,0.0,0.0688784
metric_TMAM_Info_CoreIPC,1.9734398038607603,2.0167885534999996,1.92716575,2.15904875
metric_TMAM_Frontend_Bound(%),32.84216134455695,33.6464251205,28.29886531,37.62113467
metric_TMAM_Bad_Speculation(%),7.462978091835441,9.2762376195,6.23892559,12.14669766
metric_TMAM_Backend_bound(%),1.9631327961392413,2.4305130965,1.66403253,2.88716794
metric_TMAM_Retiring(%),57.77221118126584,58.4789412625,56.69330778,58.83800938
